Team,PR
VOL,0.0
DEN,0.021098572783637658
RAN,0.039169685004265535
LUG,0.07374215554697411
TUB,0.11250982277591198
FAL,0.13518472702770024
ING,0.13608410884592956
WAT,0.14789957059308
ANG,0.15091252472729907
MID,0.15094462857411464
SER,0.1524902893388809
LAS,0.1609940396604087
BOU,0.16388120973739928
BIR,0.16645612710760724
VAD,0.1810942412266252
LEI,0.18128528124866872
HUE,0.1816850794395957
DUN,0.18260373478113098
DAR,0.18513021387086223
CLB,0.1966357011388284
FEI,0.19892476416352942
XAM,0.20079813178799416
DUF,0.20160088472217835
LAU,0.20289721977902567
BMU,0.20777121183098413
POR,0.2081912209678072
EUP,0.2159474742196232
ARS,0.22003251604702811
TEN,0.2303827640972883
AND,0.23055479535786236
BRA,0.23068569411303072
LEM,0.23366805702962481
AAR,0.2338021512620712
PSV,0.23494910410964057
LEG,0.236278740236228
FDU,0.24193832944633087
EMP,0.2497311988433014
PAR,0.2532621166870438
GEN,0.2534330658013676
CAP,0.2536490396487881
ZWO,0.25728551297950747
FEY,0.25826782500213064
POG,0.26273586282542455
NOV,0.26406730749302043
ROS,0.2650172450951179
DIJ,0.266240857782156
EIB,0.2678985174027611
FRO,0.2694389708462635
CEL,0.27161402776312255
TON,0.27365194014978494
ELC,0.2765536545312027
STP,0.27828832618328364
REA,0.28184598681570894
NUM,0.28319926321660716
JUV,0.28538146952230725
TOR,0.2899841782881999
BEL,0.29028107004174236
PSG,0.2904743727342763
ROM,0.2931201433835811
WIS,0.29349710619175173
GRF,0.2936810336627178
GAJ,0.2944124094669175
XER,0.2953306066093432
LEH,0.295409085125781
TOT,0.2960775759077882
AJA,0.29760852830021955
SPA,0.3000340369171549
LGD,0.3009838101365115
ALK,0.3011427226422751
KAI,0.30274880853715674
OOS,0.3038789059231914
ZAW,0.30449155929862515
TWE,0.3088080184868158
MOR,0.3090373301191308
MUN,0.31170462919237174
BLA,0.3140108116981325
GRE,0.3148582890960776
PES,0.31594328791486703
TRO,0.3164043692688296
BIE,0.317700364126697
SAN,0.3183232826833274
LYO,0.31917585604581855
REG,0.3191814117479043
BAR,0.31947103544751176
ARL,0.31997055837433086
DOR,0.32386676279385784
WID,0.3248830406764858
SOU,0.32505118292205115
TBN,0.3257640086015507
EST,0.32921073960492997
INT,0.3299608930821365
MAI,0.3315133125769512
SAS,0.33299641821997633
CHE,0.33449432848176336
COT,0.3382044125472885
BEN,0.33905560002747936
SIE,0.3390582136599035
ACM,0.3399463457970358
MOP,0.3437103611095401
GUI,0.34928582338522557
CRY,0.3505438654052392
POZ,0.3514625381563938
ETG,0.35346402176724306
ULE,0.3537265256342149
NAP,0.35433857838845456
AUX,0.3544744569585604
COR,0.35740994576759527
BRE,0.35950253940379395
MOU,0.35957782952158335
MAD,0.3603422719711731
PAD,0.3612780926365558
GRO,0.3614206573816972
KAR,0.36153176172165424
BOA,0.36229669503634043
LIL,0.36354292864652465
QPR,0.3676878600338486
AUG,0.3678640496373505
LEN,0.36850721672461734
HER,0.37204614793518004
CAR,0.3727336104071623
NAV,0.37290345066701797
ARO,0.3781470983104989
CES,0.38598138802176074
WOL,0.3871438759640344
THU,0.3938176397423508
B-M,0.39405306790910255
GAE,0.3946580385055781
HIB,0.39541021822508277
SOC,0.39610809809330855
VER,0.4030944040733302
MET,0.40455474831505006
POD,0.4089349398148666
GAL,0.41021388165717804
PEN,0.41251877375917967
VIT,0.4129252343008895
O-H,0.41765794159302605
CKR,0.42002219432221627
ZAR,0.42288434570515926
SCP,0.42342015359479196
S04,0.4300054437920731
BAS,0.43463590102452543
LIV,0.43684732481985317
BOC,0.43838656354951683
AMA,0.43912269849596863
SLA,0.43952969790802887
LAZ,0.44152509905403015
INV,0.4423121793307674
VIL,0.4437227538255766
CHI,0.4446027170288029
RAY,0.44617688715001963
CAT,0.4485288137311602
NUR,0.4525277030863483
CAM,0.45381906320269627
HBE,0.4607911766873001
BLB,0.46249150212749485
STL,0.4655905908435611
REI,0.4670731389842019
SEV,0.46903283513380106
WAA,0.4713847525211279
ETI,0.47242414646872366
HAM,0.4737460104826917
NOR,0.4746571117766928
GV,0.47896808285128467
HUL,0.4791197925487999
MCI,0.4798814484938314
OLH,0.4803267154978322
JOH,0.4803718274594053
VAL,0.48061498864215574
NAN,0.48254300868373745
FRE,0.48306578874915346
ROD,0.4835578390331823
NEC,0.48417581515286734
PIG,0.4849543231117894
RKC,0.48591184705653095
SWA,0.49206748469684414
MEC,0.49262987831992444
CAE,0.4931431125631584
ZUL,0.4974845416892257
GRA,0.4984538876876414
STU,0.5002556452789388
BIA,0.5019992541202972
MON,0.5101528984632644
LEV,0.5107564336096634
UDI,0.5113582958044222
BAC,0.5114198828615265
WIG,0.5127136470153834
ALM,0.5145593417888028
BET,0.5212704748243016
WII,0.5303194734542398
CHO,0.5327727154097631
LOK,0.5391588314403556
EVE,0.5401251735785916
LOR,0.5417873476488293
HEE,0.5448413300810058
OSA,0.5458909175973378
HEA,0.546712096389902
BIL,0.5531292743396607
NAC,0.5655648227377178
FCK,0.5671463343783045
MAR,0.5684571504550633
STT,0.5778273851756928
CHA,0.5789200515484305
WES,0.5799258654512299
VEN,0.5802812818517045
LIE,0.5815958984304783
BUR,0.5817613561904512
WHU,0.5848483984610203
CAG,0.5856985133028878
ABE,0.5884080314065884
FIO,0.5949520137490412
CEB,0.5953908604939404
ZAG,0.5954207355334394
EFR,0.5981985430097004
TOU,0.5984963918960198
FUL,0.6039949859439824
MAL,0.6056864222171736
GET,0.6093369678504205
ATA,0.6121682134230302
BOR,0.6214312237121897
LEC,0.623356479537157
STK,0.6330488359523085
MIR,0.6389382337427489
ACA,0.6422887636895774
SAM,0.6454817407388682
SUN,0.6491196873460134
YB,0.6553183211786808
UTR,0.6604475225029067
GOR,0.6635289542705326
KKI,0.6669625189026671
SET,0.668770628502095
HAN,0.6738335262702057
GLA,0.6829185253474171
BOL,0.6834519911281155
HAA,0.685154397403471
RA,0.6853115174864851
AVL,0.6866238513019576
EXC,0.6876349756735501
SPG,0.6915713025889374
NEW,0.6933254732023897
LUZ,0.6940459911166175
PAL,0.6952907018498715
HOF,0.6976461071741721
DUU,0.7199024108462712
FER,0.7256595593889522
WBA,0.733133168050585
ZUR,0.7473135117973138
WBR,0.7495167779513362
MOT,0.7794653196836699
REN,0.7831778200109345
ESP,0.7976582129906206
KIL,0.8803991924705642
SIO,0.9696722437756342
KOR,0.9987458797662927
NIC,1.0
